DateID,Date,DayofWeek,Month,Quarter,Year,isWeekend
20200427,04/27/20,Monday,4,2,2020,FALSE
20200428,04/28/20,Tuesday,4,2,2020,FALSE
20200429,04/29/20,Wednesday,4,2,2020,FALSE
20200430,04/30/20,Thursday,4,2,2020,FALSE
20200501,05/01/20,Friday,5,2,2020,FALSE
20200502,05/02/20,Saturday,5,2,2020,TRUE
20200503,05/03/20,Sunday,5,2,2020,TRUE
20200504,05/04/20,Monday,5,2,2020,FALSE
20200505,05/05/20,Tuesday,5,2,2020,FALSE
20200506,05/06/20,Wednesday,5,2,2020,FALSE
20200507,05/07/20,Thursday,5,2,2020,FALSE
20200508,05/08/20,Friday,5,2,2020,FALSE
20200509,05/09/20,Saturday,5,2,2020,TRUE
20200510,05/10/20,Sunday,5,2,2020,TRUE
20200511,05/11/20,Monday,5,2,2020,FALSE
20200512,05/12/20,Tuesday,5,2,2020,FALSE
20200513,05/13/20,Wednesday,5,2,2020,FALSE
20200514,05/14/20,Thursday,5,2,2020,FALSE
20200515,05/15/20,Friday,5,2,2020,FALSE
20200516,05/16/20,Saturday,5,2,2020,TRUE
20200517,05/17/20,Sunday,5,2,2020,TRUE
20200518,05/18/20,Monday,5,2,2020,FALSE
20200519,05/19/20,Tuesday,5,2,2020,FALSE
20200520,05/20/20,Wednesday,5,2,2020,FALSE
20200521,05/21/20,Thursday,5,2,2020,FALSE
20200522,05/22/20,Friday,5,2,2020,FALSE
20200523,05/23/20,Saturday,5,2,2020,TRUE
20200524,05/24/20,Sunday,5,2,2020,TRUE
20200525,05/25/20,Monday,5,2,2020,FALSE
20200526,05/26/20,Tuesday,5,2,2020,FALSE
20200527,05/27/20,Wednesday,5,2,2020,FALSE
20200528,05/28/20,Thursday,5,2,2020,FALSE
20200529,05/29/20,Friday,5,2,2020,FALSE
20200530,05/30/20,Saturday,5,2,2020,TRUE
20200531,05/31/20,Sunday,5,2,2020,TRUE
20200601,06/01/20,Monday,6,2,2020,FALSE
20200602,06/02/20,Tuesday,6,2,2020,FALSE
20200603,06/03/20,Wednesday,6,2,2020,FALSE
20200604,06/04/20,Thursday,6,2,2020,FALSE
20200605,06/05/20,Friday,6,2,2020,FALSE
20200606,06/06/20,Saturday,6,2,2020,TRUE
20200607,06/07/20,Sunday,6,2,2020,TRUE
20200608,06/08/20,Monday,6,2,2020,FALSE
20200609,06/09/20,Tuesday,6,2,2020,FALSE
20200610,06/10/20,Wednesday,6,2,2020,FALSE
20200611,06/11/20,Thursday,6,2,2020,FALSE
20200612,06/12/20,Friday,6,2,2020,FALSE
20200613,06/13/20,Saturday,6,2,2020,TRUE
20200614,06/14/20,Sunday,6,2,2020,TRUE
20200615,06/15/20,Monday,6,2,2020,FALSE
20200616,06/16/20,Tuesday,6,2,2020,FALSE
20200617,06/17/20,Wednesday,6,2,2020,FALSE
20200618,06/18/20,Thursday,6,2,2020,FALSE
20200619,06/19/20,Friday,6,2,2020,FALSE
20200620,06/20/20,Saturday,6,2,2020,TRUE
20200621,06/21/20,Sunday,6,2,2020,TRUE
20200622,06/22/20,Monday,6,2,2020,FALSE
20200623,06/23/20,Tuesday,6,2,2020,FALSE
20200624,06/24/20,Wednesday,6,2,2020,FALSE
20200625,06/25/20,Thursday,6,2,2020,FALSE
